TrendID,ProductGroupID,TrendDescription,StartDate,EndDate,Region,SalesForecast,CompetitorAnalysis,MarketGrowthRate,CustomerSentiment,TrendScore
100,2,Trend 100,04/30/2031,04/30/2032,South,102497,Competitive,0.08568170483081793,Positive,2
101,3,Trend 101,05/31/2031,05/31/2032,West,106486,Non-competitive,0.08584009503355294,Neutral,6
102,8,Trend 102,06/30/2031,06/30/2032,North,68047,Non-competitive,0.08450229155133,Neutral,9
103,3,Trend 103,07/31/2031,07/31/2032,East,70494,Competitive,0.011032796134523203,Negative,3
104,7,Trend 104,08/31/2031,08/31/2032,West,128501,Non-competitive,0.034033627893546574,Neutral,1
105,1,Trend 105,09/30/2031,09/30/2032,South,145678,Non-competitive,0.09998882088168362,Positive,4
106,3,Trend 106,10/31/2031,10/31/2032,East,74960,Competitive,0.020771494947323787,Positive,7
107,7,Trend 107,11/30/2031,11/30/2032,West,126539,Non-competitive,0.054108054647887004,Positive,4
108,7,Trend 108,12/31/2031,12/31/2032,South,98801,Non-competitive,0.08110235355424168,Positive,2
109,3,Trend 109,01/31/2032,01/31/2033,East,69121,Competitive,0.020999251908447057,Negative,5
110,8,Trend 110,02/29/2032,02/28/2033,North,56861,Competitive,0.06961682626221231,Neutral,7
111,8,Trend 111,03/31/2032,03/31/2033,West,136627,Non-competitive,0.053927240096919175,Neutral,3
112,1,Trend 112,04/30/2032,04/30/2033,South,72175,Non-competitive,0.027486098387756813,Positive,5
113,7,Trend 113,05/31/2032,05/31/2033,North,122121,Competitive,0.08907670239244483,Negative,5
114,6,Trend 114,06/30/2032,06/30/2033,West,81945,Competitive,0.026333865780195732,Positive,2
115,2,Trend 115,07/31/2032,07/31/2033,North,83740,Competitive,0.06751475733652978,Positive,6
116,5,Trend 116,08/31/2032,08/31/2033,West,76933,Non-competitive,0.07667441903781362,Negative,9
117,7,Trend 117,09/30/2032,09/30/2033,East,73226,Non-competitive,0.06064055979339055,Negative,2
118,1,Trend 118,10/31/2032,10/31/2033,East,117853,Non-competitive,0.0665957411737472,Neutral,2
119,7,Trend 119,11/30/2032,11/30/2033,East,116537,Non-competitive,0.0207068856959804,Negative,3
120,6,Trend 120,12/31/2032,12/31/2033,South,64374,Non-competitive,0.037723328834907824,Negative,6
121,2,Trend 121,01/31/2033,01/31/2034,South,89515,Competitive,0.06282659865067113,Negative,1
122,3,Trend 122,02/28/2033,02/28/2034,North,63911,Non-competitive,0.04559173446767603,Positive,9
123,2,Trend 123,03/31/2033,03/31/2034,North,148797,Competitive,0.06975514732895206,Neutral,1
124,6,Trend 124,04/30/2033,04/30/2034,West,143307,Competitive,0.08667591803238685,Positive,6
125,5,Trend 125,05/31/2033,05/31/2034,East,139147,Competitive,0.027119988038096524,Negative,2
126,1,Trend 126,06/30/2033,06/30/2034,North,93382,Non-competitive,0.09129454307833015,Neutral,9
127,8,Trend 127,07/31/2033,07/31/2034,South,110407,Competitive,0.0444858265387984,Negative,7
128,9,Trend 128,08/31/2033,08/31/2034,West,144382,Non-competitive,0.09488118976554293,Negative,9
129,6,Trend 129,09/30/2033,09/30/2034,East,86670,Non-competitive,0.06556440817224687,Negative,9
130,8,Trend 130,10/31/2033,10/31/2034,West,97062,Non-competitive,0.081108596903131,Positive,3
131,1,Trend 131,11/30/2033,11/30/2034,East,149773,Competitive,0.056329788553590346,Neutral,9
132,4,Trend 132,12/31/2033,12/31/2034,North,83575,Competitive,0.0578030224953978,Neutral,4
133,2,Trend 133,01/31/2034,01/31/2035,East,91287,Competitive,0.039483450888937476,Negative,6
134,5,Trend 134,02/28/2034,02/28/2035,South,139986,Competitive,0.021642823650461995,Negative,7
135,5,Trend 135,03/31/2034,03/31/2035,North,146699,Competitive,0.04454397206743814,Positive,4
136,7,Trend 136,04/30/2034,04/30/2035,North,111465,Competitive,0.029347883271250992,Negative,6
137,9,Trend 137,05/31/2034,05/31/2035,North,56585,Non-competitive,0.012957873029372492,Positive,1
138,9,Trend 138,06/30/2034,06/30/2035,North,55920,Competitive,0.034739814684273354,Positive,5
139,3,Trend 139,07/31/2034,07/31/2035,South,96973,Competitive,0.026251844740017127,Negative,7
140,8,Trend 140,08/31/2034,08/31/2035,South,53742,Non-competitive,0.08879772835343105,Positive,8
141,6,Trend 141,09/30/2034,09/30/2035,West,94660,Competitive,0.01731129061882645,Negative,5
142,6,Trend 142,10/31/2034,10/31/2035,East,54955,Competitive,0.026550603917369492,Positive,2
143,5,Trend 143,11/30/2034,11/30/2035,East,86009,Non-competitive,0.07336276259827008,Negative,8
144,6,Trend 144,12/31/2034,12/31/2035,North,67870,Non-competitive,0.09273033019182461,Neutral,3
145,9,Trend 145,01/31/2035,01/31/2036,East,126404,Competitive,0.03263126070087407,Positive,3
146,6,Trend 146,02/28/2035,02/29/2036,South,50173,Competitive,0.011917101831524342,Positive,5
147,9,Trend 147,03/31/2035,03/31/2036,North,53413,Competitive,0.09644540254795898,Neutral,9
148,2,Trend 148,04/30/2035,04/30/2036,East,101481,Competitive,0.07139985764265556,Negative,6
149,2,Trend 149,05/31/2035,05/31/2036,West,149530,Competitive,0.037959642645747034,Positive,6
150,9,Trend 150,06/30/2035,06/30/2036,West,85074,Competitive,0.05251360979937159,Negative,6
151,8,Trend 151,07/31/2035,07/31/2036,West,82798,Competitive,0.06393302864908872,Positive,3
152,1,Trend 152,08/31/2035,08/31/2036,South,60317,Competitive,0.0436481714858808,Negative,1
153,4,Trend 153,09/30/2035,09/30/2036,East,76459,Competitive,0.08870390169590593,Negative,9
154,5,Trend 154,10/31/2035,10/31/2036,North,91824,Competitive,0.07535553294768647,Neutral,6
155,3,Trend 155,11/30/2035,11/30/2036,South,121954,Competitive,0.09589066341617901,Negative,5
156,1,Trend 156,12/31/2035,12/31/2036,East,134953,Competitive,0.04159589705633906,Neutral,3
157,4,Trend 157,01/31/2036,01/31/2037,North,86568,Non-competitive,0.0943456679849603,Negative,6
158,6,Trend 158,02/29/2036,02/28/2037,West,149768,Non-competitive,0.05311905168031697,Negative,7
159,2,Trend 159,03/31/2036,03/31/2037,South,74452,Competitive,0.06780903747836244,Negative,5
160,3,Trend 160,04/30/2036,04/30/2037,East,80603,Non-competitive,0.07629824842793988,Neutral,1
161,5,Trend 161,05/31/2036,05/31/2037,North,78184,Non-competitive,0.08284041721051122,Positive,5
162,4,Trend 162,06/30/2036,06/30/2037,East,81474,Non-competitive,0.04566334305544245,Negative,2
163,1,Trend 163,07/31/2036,07/31/2037,North,90598,Non-competitive,0.05031513806632941,Positive,6
164,7,Trend 164,08/31/2036,08/31/2037,North,123094,Non-competitive,0.08355493235014756,Positive,1
165,1,Trend 165,09/30/2036,09/30/2037,East,82924,Non-competitive,0.07458014827818595,Positive,8
166,8,Trend 166,10/31/2036,10/31/2037,North,114053,Non-competitive,0.09467642884371795,Negative,1
167,3,Trend 167,11/30/2036,11/30/2037,South,81390,Competitive,0.0981638084276057,Negative,3
168,9,Trend 168,12/31/2036,12/31/2037,West,130487,Non-competitive,0.026102200272926195,Negative,7
169,4,Trend 169,01/31/2037,01/31/2038,West,97216,Non-competitive,0.030512747063147973,Neutral,3
170,1,Trend 170,02/28/2037,02/28/2038,South,134718,Competitive,0.07443878025511422,Neutral,2
171,9,Trend 171,03/31/2037,03/31/2038,South,136171,Non-competitive,0.0772644461188819,Negative,1
172,5,Trend 172,04/30/2037,04/30/2038,West,85461,Competitive,0.0642861598809273,Neutral,1
173,3,Trend 173,05/31/2037,05/31/2038,North,108787,Competitive,0.08895697877993602,Neutral,2
174,1,Trend 174,06/30/2037,06/30/2038,West,57762,Non-competitive,0.032679141589966466,Negative,6
175,4,Trend 175,07/31/2037,07/31/2038,North,144446,Non-competitive,0.04055386548671132,Neutral,1
176,9,Trend 176,08/31/2037,08/31/2038,West,107392,Competitive,0.05451821632962181,Negative,6
177,2,Trend 177,09/30/2037,09/30/2038,East,124988,Non-competitive,0.038352438007171086,Neutral,5
178,5,Trend 178,10/31/2037,10/31/2038,East,55605,Non-competitive,0.0590895180407624,Neutral,5
179,4,Trend 179,11/30/2037,11/30/2038,West,74316,Competitive,0.071423027136815,Positive,9
180,4,Trend 180,12/31/2037,12/31/2038,North,149352,Competitive,0.02983302110383254,Positive,3
181,7,Trend 181,01/31/2038,01/31/2039,North,58298,Non-competitive,0.053680370857154255,Neutral,9
182,8,Trend 182,02/28/2038,02/28/2039,South,51192,Competitive,0.09936832218737306,Positive,9
183,4,Trend 183,03/31/2038,03/31/2039,North,52283,Non-competitive,0.03917451728631115,Neutral,5
184,6,Trend 184,04/30/2038,04/30/2039,East,120044,Non-competitive,0.013182572754218257,Negative,1
185,4,Trend 185,05/31/2038,05/31/2039,North,97272,Non-competitive,0.0835616556355612,Neutral,1
186,3,Trend 186,06/30/2038,06/30/2039,North,116735,Non-competitive,0.055297610523969615,Negative,2
187,5,Trend 187,07/31/2038,07/31/2039,North,145127,Non-competitive,0.014750547050671347,Neutral,4
188,5,Trend 188,08/31/2038,08/31/2039,East,112876,Competitive,0.09012745245018171,Positive,4
189,1,Trend 189,09/30/2038,09/30/2039,West,137548,Non-competitive,0.04640629419823221,Negative,2
190,4,Trend 190,10/31/2038,10/31/2039,East,85028,Non-competitive,0.09363458639263572,Negative,4
191,4,Trend 191,11/30/2038,11/30/2039,North,74409,Non-competitive,0.046187035642050546,Positive,6
192,9,Trend 192,12/31/2038,12/31/2039,West,101109,Non-competitive,0.016914905629721276,Positive,7
193,4,Trend 193,01/31/2039,01/31/2040,North,67669,Competitive,0.03207710297079935,Negative,9
194,6,Trend 194,02/28/2039,02/29/2040,West,66407,Non-competitive,0.041523445513648255,Neutral,2
195,7,Trend 195,03/31/2039,03/31/2040,North,99521,Non-competitive,0.07756554631197025,Positive,8
196,8,Trend 196,04/30/2039,04/30/2040,East,67092,Competitive,0.02662733371143553,Negative,9
197,6,Trend 197,05/31/2039,05/31/2040,West,115684,Non-competitive,0.0487876288353287,Neutral,2
198,2,Trend 198,06/30/2039,06/30/2040,South,51464,Competitive,0.08859208778343719,Positive,6
199,8,Trend 199,07/31/2039,07/31/2040,South,83821,Non-competitive,0.05803849822355049,Neutral,5
200,1,Trend 200,08/31/2039,08/31/2040,North,71874,Competitive,0.0192839247774151,Neutral,2
201,3,Trend 201,09/30/2039,09/30/2040,South,52716,Non-competitive,0.0122070238349169,Positive,2
202,9,Trend 202,10/31/2039,10/31/2040,West,54338,Competitive,0.07352288210449438,Neutral,4
203,3,Trend 203,11/30/2039,11/30/2040,West,119083,Non-competitive,0.09812147418623954,Neutral,5
204,2,Trend 204,12/31/2039,12/31/2040,North,148486,Competitive,0.08066487366570761,Negative,8
205,5,Trend 205,01/31/2040,01/31/2041,North,117484,Non-competitive,0.07882535771608758,Negative,4
206,1,Trend 206,02/29/2040,02/28/2041,East,146959,Non-competitive,0.0707902764110218,Neutral,4
207,5,Trend 207,03/31/2040,03/31/2041,West,99895,Non-competitive,0.08159524392687986,Negative,4
208,2,Trend 208,04/30/2040,04/30/2041,North,62753,Competitive,0.013601600710537932,Negative,1
209,8,Trend 209,05/31/2040,05/31/2041,West,81292,Non-competitive,0.03382134685451686,Neutral,7
210,4,Trend 210,06/30/2040,06/30/2041,West,147989,Non-competitive,0.07258577823743972,Negative,5
211,2,Trend 211,07/31/2040,07/31/2041,East,113944,Non-competitive,0.08802894966469695,Neutral,5
212,7,Trend 212,08/31/2040,08/31/2041,North,93620,Competitive,0.07071461846351418,Neutral,8
213,7,Trend 213,09/30/2040,09/30/2041,North,118660,Competitive,0.025864851518508848,Positive,6
214,7,Trend 214,10/31/2040,10/31/2041,North,89004,Competitive,0.09426776139511238,Positive,4
215,7,Trend 215,11/30/2040,11/30/2041,South,122288,Non-competitive,0.09130408300997676,Neutral,4
216,1,Trend 216,12/31/2040,12/31/2041,North,56250,Competitive,0.017801088952609574,Positive,8
217,1,Trend 217,01/31/2041,01/31/2042,North,85557,Non-competitive,0.027370003381682773,Neutral,3
218,3,Trend 218,02/28/2041,02/28/2042,North,53129,Non-competitive,0.03476737275494741,Positive,2
219,7,Trend 219,03/31/2041,03/31/2042,West,87342,Non-competitive,0.07645706835441461,Neutral,9
220,1,Trend 220,04/30/2041,04/30/2042,West,100727,Competitive,0.08734359954707713,Neutral,4
221,7,Trend 221,05/31/2041,05/31/2042,East,99742,Competitive,0.062049014870639616,Negative,5
222,8,Trend 222,06/30/2041,06/30/2042,East,89018,Non-competitive,0.027968101358649605,Neutral,7
223,1,Trend 223,07/31/2041,07/31/2042,South,130110,Non-competitive,0.047358089885922626,Neutral,8
224,4,Trend 224,08/31/2041,08/31/2042,East,57481,Competitive,0.022407328023769643,Negative,8
225,1,Trend 225,09/30/2041,09/30/2042,North,133077,Competitive,0.0925656568172582,Positive,4
226,4,Trend 226,10/31/2041,10/31/2042,East,115177,Competitive,0.07880778463694262,Negative,2
227,5,Trend 227,11/30/2041,11/30/2042,South,119583,Competitive,0.055919245042546986,Neutral,5
228,8,Trend 228,12/31/2041,12/31/2042,West,98221,Competitive,0.05082175388537542,Neutral,5
229,6,Trend 229,01/31/2042,01/31/2043,East,137845,Competitive,0.018805787051101294,Positive,8
230,4,Trend 230,02/28/2042,02/28/2043,West,147196,Competitive,0.03868078206702946,Neutral,2
231,9,Trend 231,03/31/2042,03/31/2043,West,62732,Competitive,0.020856951582165682,Positive,2
232,9,Trend 232,04/30/2042,04/30/2043,North,82604,Non-competitive,0.08041042570260341,Neutral,7
233,1,Trend 233,05/31/2042,05/31/2043,West,131449,Competitive,0.05903953360085752,Neutral,2
234,7,Trend 234,06/30/2042,06/30/2043,North,120463,Non-competitive,0.030454964327364296,Neutral,8
235,8,Trend 235,07/31/2042,07/31/2043,West,122967,Non-competitive,0.03017825553303427,Positive,5
236,6,Trend 236,08/31/2042,08/31/2043,West,89042,Non-competitive,0.0334358377764207,Neutral,3
237,5,Trend 237,09/30/2042,09/30/2043,West,142846,Non-competitive,0.03779854770846304,Positive,9
238,6,Trend 238,10/31/2042,10/31/2043,West,125339,Competitive,0.044893461860326896,Positive,6
239,3,Trend 239,11/30/2042,11/30/2043,South,99844,Non-competitive,0.036779403913951354,Negative,1
240,6,Trend 240,12/31/2042,12/31/2043,West,99730,Non-competitive,0.07116003050798354,Neutral,9
241,7,Trend 241,01/31/2043,01/31/2044,East,66793,Competitive,0.013156625737457102,Positive,3
242,7,Trend 242,02/28/2043,02/29/2044,West,62965,Competitive,0.039529928343823136,Positive,7
243,9,Trend 243,03/31/2043,03/31/2044,South,88787,Competitive,0.0770762685572214,Positive,5
244,8,Trend 244,04/30/2043,04/30/2044,North,126663,Competitive,0.09485271865677564,Negative,6
245,8,Trend 245,05/31/2043,05/31/2044,West,118948,Non-competitive,0.08224592951417961,Positive,1
246,8,Trend 246,06/30/2043,06/30/2044,North,124102,Competitive,0.031674358861439864,Positive,4
247,3,Trend 247,07/31/2043,07/31/2044,West,59920,Non-competitive,0.030962392154544854,Positive,5
248,7,Trend 248,08/31/2043,08/31/2044,South,69584,Competitive,0.02713031152454702,Neutral,6
249,1,Trend 249,09/30/2043,09/30/2044,South,108193,Non-competitive,0.08942477813727484,Neutral,7
250,6,Trend 250,10/31/2043,10/31/2044,North,71422,Competitive,0.03140701185170979,Negative,4
251,3,Trend 251,11/30/2043,11/30/2044,North,99123,Competitive,0.07823625610718148,Neutral,8
252,2,Trend 252,12/31/2043,12/31/2044,West,127268,Non-competitive,0.033494475826421795,Negative,9
253,9,Trend 253,01/31/2044,01/31/2045,East,86406,Non-competitive,0.012977365906676407,Neutral,6
254,6,Trend 254,02/29/2044,02/28/2045,North,123343,Non-competitive,0.07601029300618893,Neutral,6
255,5,Trend 255,03/31/2044,03/31/2045,South,134131,Non-competitive,0.07535816288156809,Positive,9
256,2,Trend 256,04/30/2044,04/30/2045,South,117406,Competitive,0.018006319986494813,Positive,2
257,3,Trend 257,05/31/2044,05/31/2045,North,131074,Competitive,0.039403113213664145,Positive,1
258,1,Trend 258,06/30/2044,06/30/2045,East,140724,Non-competitive,0.09535287611701204,Positive,2
259,5,Trend 259,07/31/2044,07/31/2045,North,82114,Competitive,0.024665409872396606,Positive,2
260,8,Trend 260,08/31/2044,08/31/2045,North,89018,Non-competitive,0.017800522538761913,Neutral,5
261,1,Trend 261,09/30/2044,09/30/2045,East,99894,Competitive,0.06351434993004633,Neutral,6
262,7,Trend 262,10/31/2044,10/31/2045,East,79335,Competitive,0.09378908788113748,Positive,8
263,3,Trend 263,11/30/2044,11/30/2045,North,148497,Competitive,0.02204004769687823,Positive,5
264,5,Trend 264,12/31/2044,12/31/2045,East,63056,Competitive,0.05617110642940161,Positive,7
265,4,Trend 265,01/31/2045,01/31/2046,North,63088,Non-competitive,0.07155992927052619,Neutral,8
266,7,Trend 266,02/28/2045,02/28/2046,West,69275,Non-competitive,0.02546467836461444,Neutral,4
267,8,Trend 267,03/31/2045,03/31/2046,North,114537,Competitive,0.011013390414297053,Neutral,3
268,7,Trend 268,04/30/2045,04/30/2046,North,119815,Competitive,0.08989148174317524,Positive,4
269,4,Trend 269,05/31/2045,05/31/2046,North,133525,Competitive,0.013170814358802357,Neutral,4
270,1,Trend 270,06/30/2045,06/30/2046,East,115029,Non-competitive,0.033171245542690714,Positive,5
271,7,Trend 271,07/31/2045,07/31/2046,East,82014,Competitive,0.06865156285666017,Negative,2
272,5,Trend 272,08/31/2045,08/31/2046,North,63015,Competitive,0.0357204640020186,Neutral,1
273,8,Trend 273,09/30/2045,09/30/2046,South,99666,Competitive,0.010873683691733492,Positive,6
274,7,Trend 274,10/31/2045,10/31/2046,West,114603,Competitive,0.06179066510184842,Neutral,3
275,3,Trend 275,11/30/2045,11/30/2046,South,132680,Non-competitive,0.03770130505012395,Neutral,4
